label	text
0	[Epub ahead of print]  Characterization and proteomic analysis of outer membrane vesicles from a commensal microbe, Enterobacter cloacae.
0	In the previous experimental work, we reported a differential action of aurein 1.2 on two probiotic strains Lactobacillus delbrueckii subsp.
0	Kocuria rosea is a Gram-positive coccus found in the environment and within normal human skin microbiota, and more recently, it has been potentially implicated as an opportunistic pathogen.
0	[Epub ahead of print]  Efficacy of an orally administered combination of Lactobacillus paracasei LC11, cranberry and D-mannose for the prevention of uncomplicated, recurrent urinary tract infections in women.
1	The species C. sputigena was confirmed by 16S rRNA gene sequencing in one patient.
1	The proliferation of Streptococcus sobrinus was remarkably inhibited by chlorhexidine, limonene and CLO (p < 0.05).
0	Co-fermentation with Lactobacillus curvatus LAB26 and Pediococcus pentosaceus SWU73571 for improving quality and safety of sour meat.
0	Although S. anginosus is considered the causative pathogen of these diseases, the pathogenic mechanisms of the bacterium  have remained unclear.
0	[Epub ahead of  print]  Chemical Synthesis Elucidates the Key Antigenic Epitope of the Autism-Related Bacterium Clostridium bolteae Capsular Octadecasaccharide.
1	Genome-Wide CRISPR Screen Identifies Semaphorin 6A and 6B as Receptors for Paeniclostridium sordellii Toxin TcsL.
0	Mixed fermentations involving P. taetrolens LMG 2336 and Lactobacillus casei CECT 475 were cultivated, entrapping both microorganisms alternately.
1	The minimum inhibitory concentration (MIC) for the bacterial species Aggregatibacter actinomycetemcomitans, Fusobacterium nucleatum, Porphyromonas gingivalis, Prevotella intermedia and Solobacterium moorei was determined.
0	You Can't B. cereus - A Review of Bacillus cereus Strains That Cause Anthrax-Like Disease.
1	Publisher: 将来源于肠膜明串珠菌Leuconostoc mesenteroides ATCC 12291 的蔗糖磷酸化酶 (Sucrose phosphorylase, SPase) 基因进行密码子优化后将其插入到pET-28a 中构建表达载体pET-28a-spase，诱导大肠杆菌Escherichia coli BL21(DE3)/pET-28a-spase 表达制得SPase 粗酶液，将重组SPase 纯化后进行酶学表征。结果表明，重组SPase 的比酶活为213.98 U/mg，纯化倍数为1.47 倍，酶活回收率达87.80%。该酶最适温度为45 ℃，最适pH 为6.5，该酶对蔗糖的Km 为128.8 mmol/L，Vmax 为2.167 μmol/(mL·min)，kcat 为39 237.86 min-1，利用重组SPase 催化氢醌合成α-熊果苷，最优条件为：氢醌添加量为40 g/L，蔗糖/氢醌的摩尔比为5:1，重组SPase 250 U/mL。在25 mmol/L的吗啉乙磺酸 (MES) 缓冲液 (pH 7.0) 中，反应温度30 ℃，避光反应24 h 后终止反应，再用500 U/mL 的糖化酶40 ℃处理2.5 h。α-熊果苷产量达98 g/L，氢醌的转化率接近99%。综上所述，文中克隆并研究了重组SPase，并建立了其在α-熊果苷生产中的应用。.
1	One species, C. butyricum, was cultured from 10 samples.
1	Dorea longicatena and Dorea formicigenerans were significantly more abundant in individuals when working the night shift.
0	With the abuse of broad spectrum antibiotics and invasive surgical devices, the rate of S. maltophilia infection is increasing every year.
0	L. rhamnosus was able to survive in suitable counts (>6 Log CFU/g) in cheeses from the 7th day of storage, with high  survival (>74.6-86.4%) after SGC.
0	In addition, the N. subflava biovar perflava possess previously unreported capsule loci and sequences have been identified in all four isolates that are similar to genes seen within the pathogens that are associated with virulence.
0	To our knowledge, this is the first R. dentocariosa spondylodiscitis reported in an immunocompetent patient, and the second one in the literature overall.
1	RESULTS: PB and PICC cultures grew Acinetobacter calcoaceticus/baumannii complex  (ACBC).
0	In this work, we studied the function of YmdB protein and its encoding gene, ymdB, in B. cereus 0-9.
1	Reclassification of Clostridium diolis Biebl and Spröer 2003 as a later heterotypic synonym of Clostridium beijerinckii Donker 1926 (Approved Lists 1980) emend.
1	RESULTS: The isolates were identified as 24 Acinetobacter haemolyticus, 24 Acinetobacter calcoaceticus-baumannii (Acb) complex and 1 strain each of Acinetobacter junii, Acinetobacter radioresistens, Acinetobacter indicus, Acinetobacter lwoffii, Acinetobacter ursingii and Acinetobacter venetianus.
0	Shigella sero-grouping revealed that 0.5%, 0.3%, 1.9%, and 0.5% were infected with Shigella boydii, Shigella dysentriae, Shigella flexneri and Shigella sonnei pure  isolates.
1	Pseudomonas aeruginosa contaminations in tap water systems have caused severe health problems in both hospital and household settings.
0	NosX is a homologue of the  FAD-binding protein ApbE from Pseudomonas stutzeri, which functions in the flavinylation of another N2OR accessory protein, NosR.
0	[Epub ahead of print]  Functional genomics assessment of lytic polysaccharide mono-oxygenase with glycoside hydrolases in Paenibacillus dendritiformis CRN18.
0	The aim of this study was to investigate the possible protective effect of Bacillus (B) species (sp) spores (B. licheniformis, B. indicus, B. subtilis, B. clausii, B. coagulans) against hepatotoxicity induced by APAP in rats.
1	To improve the utilization of plant fibers during ensiling, previous attempts have aimed at breaking linkages between lignin and hemicellulose by use of Lactobacillus buchneri LN 4017 (ATCC PTA-6138), a feruloyl esterase (FAE)-producing strain, but results have been inconsistent.
1	The emerging pathogen Campylobacter concisus is associated with prolonged diarrhoea and subsequently increased risk of MC.
1	OBJECTIVE: The aim of this study was to characterise the whole genome sequence of linezolid-intermediate Enterococcus gallinarum strain EG81 of swine origin in China.
1	RESULTS: A total of 736 isolates were studied: 30.57% E. cloacae, 23.50% M. morganii, 20.38% K. aerogenes, 10.32% C. freundii, 8.83% S. marcescens and 6.38%  P. stuartii.
0	RESULTS: Adopting an experimental evolution approach, we evolved replicate populations of Drosophila melanogaster under high and low sexual selection regimes for over a hundred generations and found the following in virgin and mated males in three separate assays: a.Post infection survivorship against two natural pathogens - Pseudomonas entomophila (Pe) and Staphylococcus succinus (Ss): Mated males survived better against Pe, but were no different than virgins  against Ss.b.Bacterial clearance ability against a third natural pathogen Providencia rettgeri (Pr): Mated males had significantly lower CFUs than virgins.
0	Overall, this study shows that C. beijerinckii DSM 6423 can co-ferment first- and second-generation sugars while consuming lactic acid.
0	The capacity of two strains (UB3 and UB5) of Sporosarcina luteola was investigated to induce the sequestration of metals by precipitation of carbonates in vitro and under microcosm conditions.
0	The qPCR results exhibited 100% specificity by testing gDNA samples from 37 non-target reference strains and 86 target strains (50 C. jejuni, 27 C. coli, and 9 C. lari  strains) in this study.
0	We previously reported first-in-human safety and clinical activity results from topical application of the commensal skin bacterium Roseomonas mucosa for the treatment of AD in 10 adults and 5 children older than 9 years of age.
1	E. faecalis MntH2 belongs to the Natural Resistance-Associated Macrophage Protein (Nramp) family of proton-coupled transporters, which transport divalent transition metals and do not transport the earth metals.
1	The thermoalkalophilic lipase from Bacillus atrophaeus (BaL) was immobilized onto amine-functionalized graphene oxide nanosheets coated with the poly (maleic anhydride-alt-1-octadecene) copolymer (GO-NH2-PMAO) and activated with glutaraldehyde as spacer arm through interfacial activation and subsequent multipoint covalent attachment.
0	Materials and Methods: The susceptibility of 194 clinical M. abscessus isolates to imipenem was determined.
1	The genomes of C. hylemonae DSM 15053 and C. hiranonis DSM 13275 were closed, and found to encode 3,647 genes (3,584 protein-coding) and 2,363 predicted genes (of which 2,239 are protein-coding), respectively, and 1,035 orthologs were shared between C. hylemonae and C. hiranonis.
1	The commensal bacteria Bacteroides xylanisolvens, Bacteroides thetaiotaomicron, Bacteroides dorei, and Bacteroides uniformis, which are enriched by GMD, are major contributors to the increased gut folate.
0	Digestion of phytate by Citrobacter braakii 6-phytase deviates significantly from monophasic Michaelis-Menten kinetics.
0	Both live cells and cells free supernatant of L. paracasei 28.4 inhibited C. auris suggesting probiotic and postbiotic effects.
1	In the present study, the anti-obesity activities of Akkermansia muciniphila (A. muciniphila) strains isolated from human stool samples and their relationship with the gut microbiota were evaluated using a high fat-diet (HFD)-fed mice model.
0	A bubble column model developed to assess the potential for large-scale butyrate production of the C. autoethanogenum-E. rectale design predicted that a 40/30/30 CO/H2/N2 gas mixture and a 5 m column length would be preferred to enhance C. autoethanogenum growth and counteract CO  inhibitory effects on E. rectale.
1	Influence of different ceramic materials and surface treatments on the adhesion of Prevotella intermedia.
1	L. plantarum (BLp) bacteriocin was heat stable while L. helveticus  (BLh) bacteriocin was heat labile.
1	Epidemiological and genetic characterization of Clostridium butyricum cultured from neonatal cases of necrotizing enterocolitis in China.
0	The recovered isolates were identified as Pseudomonas entomophila, Edwardsiella tarda, Comamonas sp, Delftia tsuruhatensis, Aeromonas dhakensis, A. sobria, A. hydrophila, A. lacus, Plesiomonas shigelloides and Vogesella perlucida through phenotypic and genotypic analyses.
1	Complete Genome Sequences of the Human Pathogen Paenibacillus thiaminolyticus Mbale and Type Strain P. thiaminolyticus NRRL B-4156.
1	Eleven isolates had efficient phosphate solubilizing ability, of  which P5 (Klebsiella variicola) released the most available phosphorus in liquid  medium (231.68 mg/L).
1	RESULTS: Twenty-six suspected CPE strains, including 17 Klebsiella pneumoniae, 6  Escherichia coli, 1 Citrobacter freundii, 1 Enterobacter Kobe, and 1 Raoultella ornithinolytica, were identified in 25 non-duplicated rectal swab samples from 25 patients, with a carriage rate of 16.67% (25/150).
0	In particular, 11 different LAB species were identified confirming the high frequency of isolation of weissellas, since Weissella confusa and Weissella cibaria constituted 47.8 and 12.4%, respectively, of total LAB isolated.
0	Comparing qPCR results with 16S rRNA gene sequencing results suggested that E. gallinarum may reach high abundances, potentially persisting into HCT and influencing transplant outcomes.
0	We investigated the applications of extracellular vesicles (EVs) isolated from probiotic Lactobacillus plantarum to protect tuna fish against spoilage and quality loss in this study.
0	The results showed that the concentrated substrates were detected as distinct and specific bands in western blotting using anti-His antibody, demonstrating that specific defective mRNAs were frequently and intensively rescued by trans-translation during the translation process in A. veronii.
1	The reduced microbiota diversity (likely including Actinobacteria, such as Bifidobacterium adolescentis  that cross feed butyrogenic bacteria) deprives the butyrogenic bacteria (such as  Roseburia intestinalis or Eubacterium) of their capacity to metabolize acetate to butyrate.
1	The microbiological success rates were 92.7% for S. pneumoniae (87.5% for penicillin-resistant S. pneumoniae [PRSP]), 92.6% for S. aureus (100% for MRSA), 100% for Escherichia coli, 82.4% for Klebsiella pneumoniae, 100% for Klebsiella oxytoca, 100% for Moraxella catarrhalis, 91.7% for Haemophilus influenzae, 88.6% for Haemophilus parainfluenzae, 96.7% for Mycoplasma pneumoniae, 93.1% for Legionella pneumophila, and 100% for Chlamydia pneumoniae There was little correlation between MICs and outcomes, with a high proportion of favorable outcomes observed across all delafloxacin baseline MIC values.
0	Chronic Corynebacterium striatum Septic Arthritis in a Patient Referred for Total Knee Arthroplasty.
1	Moreover, B. longum-C-CPE-PE23 significantly suppressed tumor growth in mice with breast cancer without serious side effects, such as weight loss or hepatic and renal damage.
1	Here, we report the complete genome sequence of Aeribacillus pallidus PI8, a thermophilic bacterium, isolated from soybean stem extract.
0	Evisceration was performed, and C. septicum was isolated from a sample of the vitreous humor.
0	Two of the species, Eggerthella lenta and Fusobacterium nucleatum, increase uraemic toxins production and promote renal disease development in a CKD rat model.
1	Resistance Sources to Brown Blotch Disease (Pseudomonas tolaasii) in a Diverse Collection of Pleurotus Mushroom Strains.
1	In addition, Lactobacillus salivarius supplementation alleviated organ injury caused by Escherichia coli O78 challenge and heat stress.
0	Membrane vesicles (MVs) containing these fatty acids were isolated from C. durum supernatants and were able to replicate the chain morphology phenotype in S. sanguinis, suggesting MV as a mediator of interspecies interactions.
1	Direct  feeding of B. laterosporus spores to different lacewing larvae instars and to adults did not cause mean mortality levels significantly different from untreated control, and slight though not significant effects of treatments were generally observed on insect longevity, development, fecundity and egg hatching.
1	Solobacterium moorei is an anaerobic gram-positive bacillus that rarely causes bacteremia.
1	Lactobacillus frumenti mediates energy production via fatty acid β-oxidation in the liver of early-weaned piglets.
1	Bioconversion of 5-Hydroxymethylfurfural (HMF) to 2,5-Furandicarboxylic Acid (FDCA) by a Native Obligate Aerobic Bacterium, Acinetobacter calcoaceticus NL14.
1	Here we showed that SprV regulates the expression of a secreted protein encoded by SMU.63 in S. mutans SMU.63 has been known to impact biofilm formation and genetic competence, two important characteristics that help in colonization of the organism.
0	Genome level phylogenetic analysis revealed that RSV-4 belongs to A. pasteurianus.
0	Antimicrobial substance assays suggest that the L. lactis 5-12H, L. lactis 6-3H, L. animalis 30a-2, L. reuteri 4-12E, and W. cibaria C34 strains might produce bacteriocins and hydrogen peroxide (H2O2) as antimicrobial substances.
1	This approach provides four important contributions to the field: (i) the first global estimation of P. stuartii genes essential for growth in laboratory medium, (ii) identification of novel fitness factors for P. stuartii colonization of the  catheterized urinary tract, (iii) identification of core fitness factors for both single-species and polymicrobial CAUTI, and (iv) assessment of conservation of fitness factors between common uropathogens.
0	isolates (20 C. jejuni and ten C. coli) to ten organic acids and ten combinations was determined.
1	In this study, we performed genome analyses of more than 1,000 bifidobacterial strains publicly available revealing that Bifidobacterium adolescentis taxon might represent a model GABA producer in human gastrointestinal tract.
1	In this work, we isolated  a novel strain of the thermophilic bacterium Geobacillus stearothermophilus from  the solfataric mud pool in Pisciarelli, a well-known hydrothermally active zone of the Campi Flegrei volcano located near Naples in Italy, and characterized it by ribotyping, 16S rRNA sequencing and mass spectrometry analyses.
0	CONCLUSIONS: A boy with X-SCID was diagnosed with M. bovis-associated HPS, emphasizing that X-SCID should be considered when M. bovis is detected in a male  infant with low lymphocyte counts.
1	Purulent pericarditis caused by Streptococcus anginosus is extremely rare.
1	The efficiency of freshwater bivalves in reducing the bacterial load, in particular toward A. hydrophila, indicates a bioremediation system with  the possibility of interesting applications on inland fish farms, and as a biotechnological tool against the diffusion of antibiotic resistance in aquaculture.
0	This biofilm was formed in vitro as a standard subgingival biofilm, comprising Actinomyces oris, Veillonella dispar, Fusobacterium nucleatum, Streptococcus anginosus, Streptococcus oralis, Prevotella intermedia, Campylobacter rectus, Porphyromonas gingivalis, and Tannerella forsythia.
1	The results showed that, when the Na2S stress/induction intensity was 20 mg/L, the protein concentration was nearly doubled compared with Control-EPS (EPS produced by Bacillus vallismortis sp.
1	This is the first report of antagonistic mechanisms of the marine bacterium S. rhizophila against anthracnose disease in mango, which in this study was found to be more effective than the synthetic fungicide.
0	In this study, the role of Toll-like receptors (TLRs) and TLR-mediated signaling pathways in mastitis caused by S. uberis was investigated using mouse models and mammary epithelial cells (MECs).
1	[Epub ahead of print]  Clustering of Streptococcus gallolyticus subspecies pasteurianus bacteremia and meningitis in neonates.
1	Bacteriophage infection of L. lactis starter cultures represents one of the main causes of fermentation failure and consequent economic losses for the dairy industry.
1	The HS alleviation in B. megaterium OSR-3 inoculated N. tabacum can be credited to the heightened activity of antioxidative enzymes, reduction in hydrogen peroxide (H2O2) and abridged synthesis of malondialdehyde (MDA).
0	We report the draft genome sequence of a new Clostridium cadaveris strain, AGRFS2.2, isolated from soil in a bovine dairy farm environment in New Zealand.
0	Is Echocardiography Mandatory for All Streptococcus gallolyticus Subsp.
1	Of 158 strains identified as Acinetobacter species, 155 were classified into 16 officially designated species, including 42  Acinetobacter pittii and 40 Acinetobacter baumannii.
1	eCollection 2019 Dec.  A pulmonary infection by Actinomyces odontolyticus and Veillonella atypica in an  immunocompetent patient with dental caries.
1	Other bacteria found mainly in the core include Prevotella melaninogenica, Staphylococcus aureus, and fusobacteria.
0	The cations, metals, and natural organic matter (NOM) in the runoff water contributed to equalizing the zeta potential values for Dugway B. globigii and B. thuringiensis  kurstaki, and drastically modified the surface of the concrete and asphalt.
1	A major challenge is the increased prevalence of Myroides odoratimimus.
0	intermedius', and Haemophilus parainfluenzae, only require V-factor.
0	The response surface methodology (RSM) was used to obtain a 7.6-fold increase of  exopolysaccharide (EPS) 58.1 ± 0.4 g/L produced by Leuconostoc lactis L2 under the condition of sucrose 91.2 g/L, pH 5.8 and NaAc 1.2 g/L.
1	To enhance the PVK degradation ability of PVK, a whole-cell biodegradation process of Ochrobactrum tritici X-2 was established and optimized.
1	RESULTS: In this study, the strain S2MT was isolated from lake sediment and was identified as Bacillus nealsonii based on transmitted electron microscopy (TEM) and 16S rRNA ribo-typing.
1	Based on 16S ribosomal RNA-sequence analysis, the 23 isolates belonged to the species Lactobacillus plantarum (16), Lactobacillus paracasei (2), Enterococcus faecium (2), Lactobacillus helveticus (1), Weissella paramesenteroides (1), and Pediococcus pentosaceus (1).
1	[Activation of low-molecular-mass nitrile hydratase from Rhodococcus rhodochrous  J1 by heterologous activators].
1	A recent conceptual model implicates three main bacteria (Gardnerella vaginalis; Atopobium vaginae; and Prevotella bivia), sexual activity, sialidase activity, and biofilm  formation in the pathogenesis of BV.
1	Although histologic features in the stomach and colon resections are similar to those at other sites, exuberant lymphocytic response in colon biopsies and immunoreactivity with T. whippleii antibody may provoke initial confusion and lead to unnecessary time and resource investment.
1	A microbial consortium, comprising Rhizobium sp., Arthrobacter globiformis, Clavibacter xyli, Curtobacterium flaccumfaciens, Bacillus subtilis, Pseudomonas aeruginosa and Bacillus sp., was used to enhance the treatment performance.
